,label,poets
0,2,ابوسعید ابوالخیر
1,0,امیر معظی
2,0,انوری
3,2,عارف قزوینی
4,0,اسعد گرگانی
5,0,اسدی توسی
6,3,عطار نیشابوری
7,3,ارزقی
8,2,بابافاضل
9,2,بباطاهر
10,2,شیخ بهایی
11,0,ملک الشعرای بهار
12,2,بیدل دهلوی
13,2,ابن حسام
14,2,عراقی
15,0,فرخی
16,2,فایز
17,0,فردوسی
18,3,فیض کاشانی
19,2,فروغی
20,0,قاآنی
21,3,گیلانی
22,2,حافظ
23,2,هاتف اصفهانی
24,3,هلالی
25,1,هجویری
26,3,اقبال لاهوری
27,0,جبلی
28,0,جامی
29,3,کمال اسماعیل
30,0,کسایی
31,2,خاقانی
32,3,خاجوی کرمانی
33,2,خلیلی کرمانی
34,2,خیام
35,2,امیرخسرو
36,2,مهستی
37,0,منوچهری
38,0,مسعود سعد
39,3,میبدی
40,2,محتشم
41,3,نصرالله منشی
42,3,مولوی
43,0,ناصر خسرو
44,1,نظامی گنجوی
45,2,نزاری قهستانی
46,2,عبید زاکانی
47,3,عمان سامانی
48,0,عنصری
49,2,عرفی
50,2,اوحدی
51,3,پروین اعتصامی
52,2,رهی معیری
53,2,آرتیمانی
54,0,رودکی
55,2,سعدی
56,2,صائب
57,2,سلمان
58,0,سنایی
59,3,سیف فرغانی
60,2,شبستری
61,2,شاه نعمت الله
62,2,شهریار
63,2,عباس صبوحی
64,2,وحشی بافقی
65,1,وراوینی
66,3,وطواط
67,2,ظهیر
